class_label,subclass_label,supertype_label
P Glut,PB-SUT Tlx3 Lhx2 Glut,PB-SUT Tlx3 Lhx2 Glut_1
P Glut,PB Pax5 Glut,PB Pax5 Glut_1
P Glut,PB Pax5 Glut,PB Pax5 Glut_2
P Glut,LDT-PCG Vsx2 Lhx4 Glut,LDT-PCG Vsx2 Lhx4 Glut_1
P Glut,LDT-PCG Vsx2 Lhx4 Glut,LDT-PCG Vsx2 Lhx4 Glut_2
P Glut,LDT-PCG Vsx2 Lhx4 Glut,LDT-PCG Vsx2 Lhx4 Glut_3
P Glut,LDT-PCG Vsx2 Lhx4 Glut,LDT-PCG Vsx2 Lhx4 Glut_4
P Glut,LDT-PCG Vsx2 Lhx4 Glut,LDT-PCG Vsx2 Lhx4 Glut_5
P Glut,LDT-PCG Vsx2 Lhx4 Glut,LDT-PCG Vsx2 Lhx4 Glut_6
P Glut,LDT-PCG Vsx2 Lhx4 Glut,LDT-PCG Vsx2 Lhx4 Glut_7
P Glut,LDT-PCG Vsx2 Lhx4 Glut,LDT-PCG Vsx2 Lhx4 Glut_8
P Glut,PB Evx2 Glut,PB Evx2 Glut_1
P Glut,PB Evx2 Glut,PB Evx2 Glut_2
P Glut,PB Evx2 Glut,PB Evx2 Glut_3
P Glut,PB Evx2 Glut,PB Evx2 Glut_4
P Glut,PB Evx2 Glut,PB Evx2 Glut_5
P Glut,PB Evx2 Glut,PB Evx2 Glut_6
P Glut,PB Evx2 Glut,PB Evx2 Glut_7
P Glut,PB Evx2 Glut,PB Evx2 Glut_8
P Glut,PB Evx2 Glut,PB Evx2 Glut_9
P Glut,B-PB Nr4a2 Glut,B-PB Nr4a2 Glut_1
P Glut,PCG-PRNr Vsx2 Nkx6-1 Glut,PCG-PRNr Vsx2 Nkx6-1 Glut_1
P Glut,PCG-PRNr Vsx2 Nkx6-1 Glut,PCG-PRNr Vsx2 Nkx6-1 Glut_2
P Glut,PCG-PRNr Vsx2 Nkx6-1 Glut,PCG-PRNr Vsx2 Nkx6-1 Glut_3
P Glut,PCG-PRNr Vsx2 Nkx6-1 Glut,PCG-PRNr Vsx2 Nkx6-1 Glut_4
P Glut,PCG-PRNr Vsx2 Nkx6-1 Glut,PCG-PRNr Vsx2 Nkx6-1 Glut_5
P Glut,PCG-PRNr Vsx2 Nkx6-1 Glut,PCG-PRNr Vsx2 Nkx6-1 Glut_6
P Glut,PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut,PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut_1
P Glut,PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut,PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut_2
P Glut,PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut,PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut_3
P Glut,PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut,PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut_4
P Glut,PRNc-PARN Tlx1 Glut,PRNc-PARN Tlx1 Glut_1
P Glut,PRNc-PARN Tlx1 Glut,PRNc-PARN Tlx1 Glut_2
P Glut,PRNc-PARN Tlx1 Glut,PRNc-PARN Tlx1 Glut_3
P Glut,PB-PSV Phox2b Glut,PB-PSV Phox2b Glut_1
P Glut,PSV Pvalb Lhx2 Glut,PSV Pvalb Lhx2 Glut_1
P Glut,PSV Pvalb Lhx2 Glut,PSV Pvalb Lhx2 Glut_2
P Glut,PSV Pvalb Lhx2 Glut,PSV Pvalb Lhx2 Glut_3
P Glut,PSV Pvalb Lhx2 Glut,PSV Pvalb Lhx2 Glut_4
P Glut,PB-NTS Phox2b Ebf3 Lmx1b Glut,PB-NTS Phox2b Ebf3 Lmx1b Glut_1
P Glut,PB-NTS Phox2b Ebf3 Lmx1b Glut,PB-NTS Phox2b Ebf3 Lmx1b Glut_2
P Glut,PRNr Otp Nfib Glut,PRNr Otp Nfib Glut_1
P Glut,IPN-LDT Vsx2 Nkx6-1 Glut,IPN-LDT Vsx2 Nkx6-1 Glut_1
P Glut,IPN-LDT Vsx2 Nkx6-1 Glut,IPN-LDT Vsx2 Nkx6-1 Glut_2
P Glut,LDT Vsx2 Nkx6-1 Nfib Glut,LDT Vsx2 Nkx6-1 Nfib Glut_1
P Glut,LDT Vsx2 Nkx6-1 Nfib Glut,LDT Vsx2 Nkx6-1 Nfib Glut_2
P Glut,NLL-SOC Spp1 Glut,NLL-SOC Spp1 Glut_1
P Glut,NLL-SOC Spp1 Glut,NLL-SOC Spp1 Glut_2
P Glut,PG-TRN-LRN Fat2 Glut,PG-TRN-LRN Fat2 Glut_1
MY Glut,IRN Vip Glut,IRN Vip Glut_1
MY Glut,PRP-NI-PRNc-GRN Otp Glut,PRP-NI-PRNc-GRN Otp Glut_1
MY Glut,PRP-NI-PRNc-GRN Otp Glut,PRP-NI-PRNc-GRN Otp Glut_2
MY Glut,PRP-NI-PRNc-GRN Otp Glut,PRP-NI-PRNc-GRN Otp Glut_3
MY Glut,PRP-NI-PRNc-GRN Otp Glut,PRP-NI-PRNc-GRN Otp Glut_4
MY Glut,NTS Phox2b Glut,NTS Phox2b Glut_1
MY Glut,NTS Phox2b Glut,NTS Phox2b Glut_2
MY Glut,NTS Phox2b Glut,NTS Phox2b Glut_3
MY Glut,NTS Phox2b Glut,NTS Phox2b Glut_4
MY Glut,NTS Phox2b Glut,NTS Phox2b Glut_5
MY Glut,NTS Phox2b Glut,NTS Phox2b Glut_6
MY Glut,NTS Phox2b Glut,NTS Phox2b Glut_7
MY Glut,NTS Phox2b Glut,NTS Phox2b Glut_8
MY Glut,NTS Phox2b Glut,NTS Phox2b Glut_9
MY Glut,NTS Phox2b Glut,NTS Phox2b Glut_10
MY Glut,MARN-GRN Pyy Glut,MARN-GRN Pyy Glut_1
MY Glut,MDRNv Lhx4 Qrfprl Glut,MDRNv Lhx4 Qrfprl Glut_1
MY Glut,NTS Mbnl3 Glut,NTS Mbnl3 Glut_1
MY Glut,PGRNd Dmbx1 Glut,PGRNd Dmbx1 Glut_1
MY Glut,PGRN-PARN-MDRN Hoxb5 Glut,PGRN-PARN-MDRN Hoxb5 Glut_1
MY Glut,PGRN-PARN-MDRN Hoxb5 Glut,PGRN-PARN-MDRN Hoxb5 Glut_2
MY Glut,PGRN-PARN-MDRN Hoxb5 Glut,PGRN-PARN-MDRN Hoxb5 Glut_3
MY Glut,PGRN-PARN-MDRN Hoxb5 Glut,PGRN-PARN-MDRN Hoxb5 Glut_4
MY Glut,PGRN-PARN-MDRN Hoxb5 Glut,PGRN-PARN-MDRN Hoxb5 Glut_5
MY Glut,PGRN-PARN-MDRN Hoxb5 Glut,PGRN-PARN-MDRN Hoxb5 Glut_6
MY Glut,PGRN-PARN-MDRN Hoxb5 Glut,PGRN-PARN-MDRN Hoxb5 Glut_7
MY Glut,MV-SPIV Slc6a2 Glut,MV-SPIV Slc6a2 Glut_1
MY Glut,SPVI-SPVC Tlx3 Ebf3 Glut,SPVI-SPVC Tlx3 Ebf3 Glut_1
MY Glut,SPVI-SPVC Tlx3 Ebf3 Glut,SPVI-SPVC Tlx3 Ebf3 Glut_2
MY Glut,SPVI-SPVC Tlx3 Ebf3 Glut,SPVI-SPVC Tlx3 Ebf3 Glut_3
MY Glut,SPVI-SPVC Tlx3 Ebf3 Glut,SPVI-SPVC Tlx3 Ebf3 Glut_4
MY Glut,SPVI-SPVC Tlx3 Ebf3 Glut,SPVI-SPVC Tlx3 Ebf3 Glut_5
MY Glut,SPVI-SPVC Tlx3 Ebf3 Glut,SPVI-SPVC Tlx3 Ebf3 Glut_6
MY Glut,SPVI-SPVC Tlx3 Ebf3 Glut,SPVI-SPVC Tlx3 Ebf3 Glut_7
MY Glut,CU-ECU-SPVI Foxb1 Glut,CU-ECU-SPVI Foxb1 Glut_1
MY Glut,CU-ECU-SPVI Foxb1 Glut,CU-ECU-SPVI Foxb1 Glut_2
MY Glut,CU-ECU-SPVI Foxb1 Glut,CU-ECU-SPVI Foxb1 Glut_3
MY Glut,CU-ECU-SPVI Foxb1 Glut,CU-ECU-SPVI Foxb1 Glut_4
MY Glut,MV-SPIV Phox2b Ebf3 Lbx1 Glut,MV-SPIV Phox2b Ebf3 Lbx1 Glut_1
MY Glut,MV-SPIV Phox2b Ebf3 Lbx1 Glut,MV-SPIV Phox2b Ebf3 Lbx1 Glut_2
MY Glut,MV-SPIV Phox2b Ebf3 Lbx1 Glut,MV-SPIV Phox2b Ebf3 Lbx1 Glut_3
MY Glut,MV-SPIV Phox2b Ebf3 Lbx1 Glut,MV-SPIV Phox2b Ebf3 Lbx1 Glut_4
MY Glut,MV-SPIV Phox2b Ebf3 Lbx1 Glut,MV-SPIV Phox2b Ebf3 Lbx1 Glut_5
MY Glut,MV-SPIV Zic4 Neurod2 Glut,MV-SPIV Zic4 Neurod2 Glut_1
MY Glut,MV-SPIV Zic4 Neurod2 Glut,MV-SPIV Zic4 Neurod2 Glut_2
MY Glut,MV-SPIV Zic4 Neurod2 Glut,MV-SPIV Zic4 Neurod2 Glut_3
MY Glut,MV-SPIV Zic4 Neurod2 Glut,MV-SPIV Zic4 Neurod2 Glut_4
MY Glut,MV-SPIV Zic4 Neurod2 Glut,MV-SPIV Zic4 Neurod2 Glut_5
MY Glut,NTS Aldh1a2 Glut,NTS Aldh1a2 Glut_1
MY Glut,CBN Neurod2 Pvalb Glut,CBN Neurod2 Pvalb Glut_1
MY Glut,NTS Dbh Glut,NTS Dbh Glut_1
MY Glut,NTS Dbh Glut,NTS Dbh Glut_2
MY Glut,NTS Dbh Glut,NTS Dbh Glut_3
MY Glut,NTS Dbh Glut,NTS Dbh Glut_4
MY Glut,NTS Dbh Glut,NTS Dbh Glut_5
MY Glut,NTS Dbh Glut,NTS Dbh Glut_6
MY Glut,DMX VII Tbx20 Chol,DMX VII Tbx20 Chol_1
MY Glut,DMX VII Tbx20 Chol,DMX VII Tbx20 Chol_2
MY Glut,IO Fgl2 Glut,IO Fgl2 Glut_1
MY Glut,VCO Mafa Meis2 Glut,VCO Mafa Meis2 Glut_1
MY Glut,VCO Mafa Meis2 Glut,VCO Mafa Meis2 Glut_2
MY Glut,VCO Mafa Meis2 Glut,VCO Mafa Meis2 Glut_3
MY Glut,VCO Mafa Meis2 Glut,VCO Mafa Meis2 Glut_4
MY Glut,SPVO Mafa Meis2 Glut,SPVO Mafa Meis2 Glut_1
MY Glut,SPVC Mafa Glut,SPVC Mafa Glut_1
MY Glut,SPVC Mafa Glut,SPVC Mafa Glut_2
MY Glut,SPVC Ccdc172 Glut,SPVC Ccdc172 Glut_1
MY Glut,SPVC Nmu Glut,SPVC Nmu Glut_1
MY Glut,SPVC Nmu Glut,SPVC Nmu Glut_2
MY Glut,MDRNd Bves Glut,MDRNd Bves Glut_1
MY Glut,MDRNv Crp Glut,MDRNv Crp Glut_1
MY Glut,HB Calcb Chol,HB Calcb Chol_1
MY Glut,HB Calcb Chol,HB Calcb Chol_2
MY Glut,HB Calcb Chol,HB Calcb Chol_3
MY Glut,HB Calcb Chol,HB Calcb Chol_4
MY Glut,HB Calcb Chol,HB Calcb Chol_5
Pineal Glut,Pineal Crx Glut,Pineal Crx Glut_1
P GABA,CS-RPO Meis2 Gaba,CS-RPO Meis2 Gaba_1
P GABA,CS-RPO Meis2 Gaba,CS-RPO Meis2 Gaba_2
P GABA,CS-RPO Meis2 Gaba,CS-RPO Meis2 Gaba_3
P GABA,CS-RPO Meis2 Gaba,CS-RPO Meis2 Gaba_4
P GABA,CS-RPO Meis2 Gaba,CS-RPO Meis2 Gaba_5
P GABA,PRNc Otp Gly-Gaba,PRNc Otp Gly-Gaba_1
P GABA,PRNc Otp Gly-Gaba,PRNc Otp Gly-Gaba_2
P GABA,PRNc Otp Gly-Gaba,PRNc Otp Gly-Gaba_3
P GABA,PRNc Otp Gly-Gaba,PRNc Otp Gly-Gaba_4
P GABA,PRNc Otp Gly-Gaba,PRNc Otp Gly-Gaba_5
P GABA,PB Sst Gly-Gaba,PB Sst Gly-Gaba_1
P GABA,PB Sst Gly-Gaba,PB Sst Gly-Gaba_2
P GABA,PRNc Prox1 Brs3 Gly-Gaba,PRNc Prox1 Brs3 Gly-Gaba_1
P GABA,CS-PRNr-DR En1 Sox2 Gaba,CS-PRNr-DR En1 Sox2 Gaba_1
P GABA,CS-PRNr-DR En1 Sox2 Gaba,CS-PRNr-DR En1 Sox2 Gaba_2
P GABA,LDT Fgf7 Gaba,LDT Fgf7 Gaba_1
P GABA,NI-RPO Gata3 Nr4a2 Gaba,NI-RPO Gata3 Nr4a2 Gaba_1
P GABA,NI-RPO Gata3 Nr4a2 Gaba,NI-RPO Gata3 Nr4a2 Gaba_2
P GABA,NI-RPO Gata3 Nr4a2 Gaba,NI-RPO Gata3 Nr4a2 Gaba_3
P GABA,NI-RPO Gata3 Nr4a2 Gaba,NI-RPO Gata3 Nr4a2 Gaba_4
P GABA,LDT-PCG-CS Gata3 Lhx1 Gaba,LDT-PCG-CS Gata3 Lhx1 Gaba_1
P GABA,LDT-PCG-CS Gata3 Lhx1 Gaba,LDT-PCG-CS Gata3 Lhx1 Gaba_2
P GABA,LDT-PCG-CS Gata3 Lhx1 Gaba,LDT-PCG-CS Gata3 Lhx1 Gaba_3
P GABA,LDT-PCG-CS Gata3 Lhx1 Gaba,LDT-PCG-CS Gata3 Lhx1 Gaba_4
P GABA,LDT-PCG-CS Gata3 Lhx1 Gaba,LDT-PCG-CS Gata3 Lhx1 Gaba_5
P GABA,PDTg-PCG Pax6 Gaba,PDTg-PCG Pax6 Gaba_1
P GABA,PDTg-PCG Pax6 Gaba,PDTg-PCG Pax6 Gaba_2
P GABA,PDTg-PCG Pax6 Gaba,PDTg-PCG Pax6 Gaba_3
P GABA,PDTg-PCG Pax6 Gaba,PDTg-PCG Pax6 Gaba_4
P GABA,PDTg Otp Shroom3 Gaba,PDTg Otp Shroom3 Gaba_1
P GABA,PDTg Otp Olig3 Gaba,PDTg Otp Olig3 Gaba_1
P GABA,LDT-PCG St18 Gaba,LDT-PCG St18 Gaba_1
P GABA,LDT-PCG St18 Gaba,LDT-PCG St18 Gaba_2
P GABA,DTN-LDT-IPN Otp Pax3 Gaba,DTN-LDT-IPN Otp Pax3 Gaba_1
P GABA,DTN-LDT-IPN Otp Pax3 Gaba,DTN-LDT-IPN Otp Pax3 Gaba_2
P GABA,DTN-LDT-IPN Otp Pax3 Gaba,DTN-LDT-IPN Otp Pax3 Gaba_3
P GABA,DTN-LDT-IPN Otp Pax3 Gaba,DTN-LDT-IPN Otp Pax3 Gaba_4
P GABA,DTN-LDT-IPN Otp Pax3 Gaba,DTN-LDT-IPN Otp Pax3 Gaba_5
P GABA,NLL Gata3 Gly-Gaba,NLL Gata3 Gly-Gaba_1
P GABA,NLL Gata3 Gly-Gaba,NLL Gata3 Gly-Gaba_2
P GABA,NLL Gata3 Gly-Gaba,NLL Gata3 Gly-Gaba_3
P GABA,NLL Gata3 Gly-Gaba,NLL Gata3 Gly-Gaba_4
P GABA,PSV Pax2 Gly-Gaba,PSV Pax2 Gly-Gaba_1
P GABA,PSV Pax2 Gly-Gaba,PSV Pax2 Gly-Gaba_2
P GABA,NLL-po Pax7 Gaba,NLL-po Pax7 Gaba_1
P GABA,POR Gata3 Gly-Gaba,POR Gata3 Gly-Gaba_1
P GABA,POR Spp1 Gly-Gaba,POR Spp1 Gly-Gaba_1
MY GABA,PRP Otp Gly-Gaba,PRP Otp Gly-Gaba_1
MY GABA,PRP Otp Gly-Gaba,PRP Otp Gly-Gaba_2
MY GABA,PRP Otp Gly-Gaba,PRP Otp Gly-Gaba_3
MY GABA,PRP Otp Gly-Gaba,PRP Otp Gly-Gaba_4
MY GABA,PRP Otp Gly-Gaba,PRP Otp Gly-Gaba_5
MY GABA,GRN-IRN-MDRNd Ikzf1 Gly-Gaba,GRN-IRN-MDRNd Ikzf1 Gly-Gaba_1
MY GABA,MY Lhx1 Gly-Gaba,MY Lhx1 Gly-Gaba_1
MY GABA,MY Lhx1 Gly-Gaba,MY Lhx1 Gly-Gaba_2
MY GABA,MY Lhx1 Gly-Gaba,MY Lhx1 Gly-Gaba_3
MY GABA,MY Lhx1 Gly-Gaba,MY Lhx1 Gly-Gaba_4
MY GABA,MY Lhx1 Gly-Gaba,MY Lhx1 Gly-Gaba_5
MY GABA,MY Lhx1 Gly-Gaba,MY Lhx1 Gly-Gaba_6
MY GABA,MY Lhx1 Gly-Gaba,MY Lhx1 Gly-Gaba_7
MY GABA,MY Lhx1 Gly-Gaba,MY Lhx1 Gly-Gaba_8
MY GABA,MY Lhx1 Gly-Gaba,MY Lhx1 Gly-Gaba_9
MY GABA,PPY-PGRNl Vip Glyc-Gaba,PPY-PGRNl Vip Glyc-Gaba_1
MY GABA,MV-SPIV-PRP Dmbx1 Gly-Gaba,MV-SPIV-PRP Dmbx1 Gly-Gaba_1
MY GABA,MV-SPIV-PRP Dmbx1 Gly-Gaba,MV-SPIV-PRP Dmbx1 Gly-Gaba_2
MY GABA,MV-SPIV-PRP Dmbx1 Gly-Gaba,MV-SPIV-PRP Dmbx1 Gly-Gaba_3
MY GABA,MDRN Hoxb5 Ebf2 Gly-Gaba,MDRN Hoxb5 Ebf2 Gly-Gaba_1
MY GABA,MDRNd Prox1 Pax6 Gly-Gaba,MDRNd Prox1 Pax6 Gly-Gaba_1
MY GABA,MY Prox1 Lmo7 Gly-Gaba,MY Prox1 Lmo7 Gly-Gaba_1
MY GABA,NTS-MDRNd Prox1 Zic1 Gly-Gaba,NTS-MDRNd Prox1 Zic1 Gly-Gaba_1
MY GABA,NTS-MDRNd Prox1 Zic1 Gly-Gaba,NTS-MDRNd Prox1 Zic1 Gly-Gaba_2
MY GABA,MV Nkx6-1 Gly-Gaba,MV Nkx6-1 Gly-Gaba_1
MY GABA,MV Nkx6-1 Gly-Gaba,MV Nkx6-1 Gly-Gaba_2
MY GABA,PAS-MV Ebf2 Gly-Gaba,PAS-MV Ebf2 Gly-Gaba_1
MY GABA,PAS-MV Ebf2 Gly-Gaba,PAS-MV Ebf2 Gly-Gaba_2
MY GABA,PAS-MV Ebf2 Gly-Gaba,PAS-MV Ebf2 Gly-Gaba_3
MY GABA,PAS-MV Ebf2 Gly-Gaba,PAS-MV Ebf2 Gly-Gaba_4
MY GABA,MV Pax6 Gly-Gaba,MV Pax6 Gly-Gaba_1
MY GABA,MV Pax6 Gly-Gaba,MV Pax6 Gly-Gaba_2
MY GABA,CBN Dmbx1 Gaba,CBN Dmbx1 Gaba_1
MY GABA,RPA Pax6 Hoxb5 Gly-Gaba,RPA Pax6 Hoxb5 Gly-Gaba_1
MY GABA,CU-ECU Pax2 Gly-Gaba,CU-ECU Pax2 Gly-Gaba_1
MY GABA,PRP Gata3 Slc6a5 Gly-Gaba,PRP Gata3 Slc6a5 Gly-Gaba_1
MY GABA,MARN-PPY Ngfr Gly-Gaba,MARN-PPY Ngfr Gly-Gaba_1
MY GABA,PARN-MDRNd-NTS Gbx2 Gly-Gaba,PARN-MDRNd-NTS Gbx2 Gly-Gaba_1
MY GABA,PARN-MDRNd-NTS Gbx2 Gly-Gaba,PARN-MDRNd-NTS Gbx2 Gly-Gaba_2
MY GABA,PARN-MDRNd-NTS Gbx2 Gly-Gaba,PARN-MDRNd-NTS Gbx2 Gly-Gaba_3
MY GABA,PARN-MDRNd-NTS Gbx2 Gly-Gaba,PARN-MDRNd-NTS Gbx2 Gly-Gaba_4
MY GABA,PARN-MDRNd-NTS Gbx2 Gly-Gaba,PARN-MDRNd-NTS Gbx2 Gly-Gaba_5
MY GABA,PARN-MDRNd-NTS Gbx2 Gly-Gaba,PARN-MDRNd-NTS Gbx2 Gly-Gaba_6
MY GABA,PARN-MDRNd-NTS Gbx2 Gly-Gaba,PARN-MDRNd-NTS Gbx2 Gly-Gaba_7
MY GABA,MV Nr4a2 Gly-Gaba,MV Nr4a2 Gly-Gaba_1
MY GABA,MV Xdh Gly-Gaba,MV Xdh Gly-Gaba_1
MY GABA,IRN Dmbx1 Pax2 Gly-Gaba,IRN Dmbx1 Pax2 Gly-Gaba_1
MY GABA,NTS-PARN Neurod2 Gly-Gaba,NTS-PARN Neurod2 Gly-Gaba_1
MY GABA,NTS-PARN Neurod2 Gly-Gaba,NTS-PARN Neurod2 Gly-Gaba_2
MY GABA,NTS-PARN Neurod2 Gly-Gaba,NTS-PARN Neurod2 Gly-Gaba_3
MY GABA,NTS-PARN Neurod2 Gly-Gaba,NTS-PARN Neurod2 Gly-Gaba_4
MY GABA,NTS-PARN Neurod2 Gly-Gaba,NTS-PARN Neurod2 Gly-Gaba_5
MY GABA,NTS-PARN Neurod2 Gly-Gaba,NTS-PARN Neurod2 Gly-Gaba_6
MY GABA,SPVI-SPVC Sall3 Nfib Gly-Gaba,SPVI-SPVC Sall3 Nfib Gly-Gaba_1
MY GABA,SPVI-SPVC Sall3 Nfib Gly-Gaba,SPVI-SPVC Sall3 Nfib Gly-Gaba_2
MY GABA,SPVI-SPVC Sall3 Lhx1 Gly-Gaba,SPVI-SPVC Sall3 Lhx1 Gly-Gaba_1
MY GABA,SPVI-SPVC Sall3 Lhx1 Gly-Gaba,SPVI-SPVC Sall3 Lhx1 Gly-Gaba_2
MY GABA,RO-RPA Pkd2l1 Gaba,RO-RPA Pkd2l1 Gaba_1
CB GABA,DCO Il22 Gly-Gaba,DCO Il22 Gly-Gaba_1
CB GABA,DCO Il22 Gly-Gaba,DCO Il22 Gly-Gaba_2
CB GABA,DCO Il22 Gly-Gaba,DCO Il22 Gly-Gaba_3
CB GABA,CB PLI Gly-Gaba,CB PLI Gly-Gaba_1
CB GABA,CB PLI Gly-Gaba,CB PLI Gly-Gaba_2
CB GABA,CB PLI Gly-Gaba,CB PLI Gly-Gaba_3
CB GABA,CB PLI Gly-Gaba,CB PLI Gly-Gaba_4
CB GABA,CBX Golgi Gly-Gaba,CBX Golgi Gly-Gaba_1
CB GABA,CBX MLI Megf11 Gaba,CBX MLI Megf11 Gaba_1
CB GABA,CBX MLI Megf11 Gaba,CBX MLI Megf11 Gaba_2
CB GABA,CBX MLI Cdh22 Gaba,CBX MLI Cdh22 Gaba_1
CB GABA,CBX Purkinje Gaba,CBX Purkinje Gaba_1
CB GABA,CBX Purkinje Gaba,CBX Purkinje Gaba_2
CB Glut,CB Granule Glut,CB Granule Glut_1
CB Glut,CB Granule Glut,CB Granule Glut_2
CB Glut,DCO UBC Glut,DCO UBC Glut_1
Astro-Epen,Bergmann NN,Bergmann NN_1
Astro-Epen,Astro-CB NN,Astro-CB NN_1
Astro-Epen,Astro-NT NN,Astro-NT NN_1
Astro-Epen,Astro-NT NN,Astro-NT NN_2
Astro-Epen,Astro-TE NN,Astro-TE NN_1
Astro-Epen,Astro-TE NN,Astro-TE NN_2
Astro-Epen,Astro-TE NN,Astro-TE NN_3
Astro-Epen,Astro-TE NN,Astro-TE NN_4
Astro-Epen,Astro-TE NN,Astro-TE NN_5
Astro-Epen,Astro-OLF NN,Astro-OLF NN_1
Astro-Epen,Astro-OLF NN,Astro-OLF NN_2
Astro-Epen,Astro-OLF NN,Astro-OLF NN_3
Astro-Epen,Astroependymal NN,Astroependymal NN_1
Astro-Epen,Astroependymal NN,Astroependymal NN_2
Astro-Epen,Astroependymal NN,Astroependymal NN_3
Astro-Epen,Tanycyte NN,Tanycyte NN_1
Astro-Epen,Tanycyte NN,Tanycyte NN_2
Astro-Epen,Tanycyte NN,Tanycyte NN_3
Astro-Epen,Ependymal NN,Ependymal NN_1
Astro-Epen,Ependymal NN,Ependymal NN_2
Astro-Epen,Hypendymal NN,Hypendymal NN_1
Astro-Epen,CHOR NN,CHOR NN_1
OPC-Oligo,OPC NN,OPC NN_1
OPC-Oligo,OPC NN,OPC NN_2
OPC-Oligo,Oligo NN,COP NN_1
OPC-Oligo,Oligo NN,NFOL NN_2
OPC-Oligo,Oligo NN,MFOL NN_3
OPC-Oligo,Oligo NN,MOL NN_4
OEC,OEC NN,OEC NN_1
Vascular,ABC NN,ABC NN_1
Vascular,VLMC NN,VLMC NN_1
Vascular,VLMC NN,VLMC NN_2
Vascular,VLMC NN,VLMC NN_3
Vascular,VLMC NN,VLMC NN_4
Vascular,Peri NN,Peri NN_1
Vascular,SMC NN,SMC NN_1
Vascular,Endo NN,Endo NN_1
Immune,Microglia NN,Microglia NN_1
Immune,BAM NN,BAM NN_1
Immune,Monocytes NN,Monocytes NN_1
Immune,DC NN,DC NN_1
Immune,Lymphoid NN,B cells NN_1
Immune,Lymphoid NN,ILC NN_2
Immune,Lymphoid NN,NK cells NN_3
Immune,Lymphoid NN,T cells NN_4
